CASE ID,Activity,current
1-699016718,Closed,4283.316
1-699557832,Closed,3724.3
1-699617036,Closed,4146.039
1-699703931,Closed,4365.827
1-699719677,Closed,4449.053
1-700135371,Closed,4465.199
1-700300604,Closed,4195.792
1-700356558,Closed,4709.797
1-700431220,Closed,4352.382
1-701284355,Closed,4686.784
1-701567557,Closed,4104.445
1-701687914,Closed,4530.405
1-701688007,Closed,4265.092
1-701799752,Closed,4175.007
1-702316147,Closed,4972.227
1-702586831,Closed,4955.558
1-703263656,Closed,3757.23
1-703368981,Closed,4788.493
1-703940589,Closed,3075.521
1-703999194,Closed,3762.645
1-704030543,Closed,3668.421
1-704096711,Closed,4096.311
1-704868231,Closed,3153.19
1-705084201,Closed,4085.411
1-705770183,Closed,3080.127
1-705895959,Closed,4537.242
1-705901284,Closed,4019.51
1-705937016,Closed,3273.757
1-706095828,Closed,3050.157
1-706221681,Closed,3567.065
1-706532431,Closed,3912.548
1-706844801,Closed,4291.062
1-706845546,Closed,3255.77
1-706880563,Closed,3685.191
1-707689061,Closed,2552.03
1-707771775,Closed,3578.72
1-707991342,Closed,3049.286
1-708505881,Closed,3083.218
1-708524564,Closed,3081.138
1-708526701,Closed,3167.443
1-708529881,Closed,2993.198
1-708577179,Closed,3078.304
1-708605704,Closed,3063.607
1-708621071,Closed,3590.047
1-708621216,Closed,3586.12
1-708654057,Closed,2597.753
1-708674093,Closed,3471.595
1-708824660,Closed,3058.78
1-708840281,Closed,2865.521
1-708840891,Closed,3159.124
1-708879965,Closed,3144.652
1-708954745,Closed,2529.925
1-709033790,Closed,3526.322
1-709167822,Closed,3169.374
1-709456716,Closed,3164.787
1-709465778,Closed,2557.067
1-709477967,Closed,2555.679
1-709502283,Closed,3004.895
1-709542591,Closed,3397.591
1-709544188,Closed,3071.215
1-709563537,Closed,2978.172
1-709663406,Closed,3146.218
1-709715968,Closed,2540.257
1-709804068,Closed,3395.358
1-709831036,Closed,3037.487
1-709844441,Closed,2792.521
1-710083211,Closed,3045.065
1-710211491,Closed,2451.863
1-712908376,Closed,2725.144
1-712916847,Closed,2023.248
1-712942400,Closed,2010.095
1-712950734,Closed,2784.682
1-712979761,Closed,2177.626
1-713472354,Closed,2135.126
1-715416771,Closed,3675.764
1-715628657,Closed,2634.138
1-715642734,Closed,2717.706
1-715658220,Closed,2114.86
1-715731471,Closed,2319.206
1-715739627,Closed,2540.082
1-715819222,Closed,2103.303
1-715860853,Closed,2962.141
1-715977583,Closed,1972.06
1-716114500,Closed,3513.231
1-716221928,Closed,2301.523
1-716224739,Closed,2635.82
1-716290816,Closed,2484.978
1-716294642,Closed,2638.681
1-716331563,Closed,2461.252
1-716409968,Closed,3579.301
1-716410529,Closed,2451.952
1-716510112,Closed,1929.852
1-716530349,Closed,1924.578
1-716584541,Closed,1952.318
1-716650567,Closed,2917.064
1-716689691,Closed,1824.849
1-716962496,Closed,1740.039
1-716981483,Closed,2212.525
1-717126508,Closed,2892.863
1-717137957,Closed,2158.538
1-717227518,Closed,2369.438
1-717228961,Closed,1852.509
1-717275031,Closed,2886.366
1-717333026,Closed,3486.86
1-717419109,Closed,2519.11
1-717491930,Closed,1662.602
1-717717559,Closed,2387.859
1-717720404,Closed,1662.894
1-717764374,Closed,2384.945
1-717770354,Closed,2384.747
1-717795233,Closed,2297.918
1-717845096,Closed,2467.241
1-717915624,Closed,2457.856
1-717918204,Closed,2805.666
1-717954369,Closed,2196.618
1-718032180,Closed,1754.261
1-718038855,In Call,1726.222
1-718100518,Closed,2095.538
1-718162127,Closed,2175.739
1-718915746,Closed,2132.279
1-718965291,Closed,1439.639
1-718977997,Closed,2131.118
1-719042888,Closed,1465.628
1-719156663,Closed,2028.321
1-719171831,Closed,1918.824
1-719204935,Closed,2111.69
1-719232890,Closed,3145.768
1-719278453,Closed,2022.056
1-719283506,Closed,2540.318
1-719343054,Closed,2107.65
1-719365340,Closed,1932.117
1-719457882,Closed,1996.192
1-719494184,Closed,2177.821
1-719527701,Closed,2378.311
1-719557848,Closed,1486.414
1-719562894,Closed,2048.992
1-719570805,Closed,2049.641
1-719999107,Closed,1964.022
1-720001688,Closed,2044.754
1-720020557,Closed,2459.757
1-720058448,Closed,2473.41
1-720113580,Closed,2038.728
1-720136845,Closed,1949.566
1-720183338,Closed,1948.298
1-720236793,Closed,1507.557
1-720238521,Closed,2013.983
1-720284313,Closed,2436.192
1-720284411,Closed,2999.381
1-720303301,Closed,2371.667
1-720314291,Closed,2371.341
1-720348105,Closed,2456.931
1-720382341,Closed,1935.922
1-720397707,Closed,1933.162
1-720413010,Closed,2454.202
1-720573655,Closed,1903.487
1-720600393,In Call,1317.473
1-722015518,Closed,2910.855
1-722019330,Closed,2046.576
1-722031971,Closed,1438.377
1-722053011,Closed,2391.34
1-722082563,Closed,1436.333
1-722100455,Closed,1693.874
1-722103633,Closed,2298.014
1-722135191,Closed,2032.537
1-722180141,Closed,2037.024
1-722199228,Closed,1688.943
1-722206475,Closed,1900.245
1-722242703,Closed,2242.447
1-722244560,Closed,1769.329
1-722261790,Closed,1942.039
1-722293660,Closed,2026.459
1-722362086,Closed,1794.379
1-722386222,Closed,1246.421
1-722386268,Closed,1874.608
1-722388008,Closed,1937.187
1-722393548,Closed,2367.806
1-722410869,Closed,1848.097
1-722446422,Closed,1848.329
1-722456527,Closed,1412.23
1-722464062,Closed,2020.695
1-722551539,Closed,1277.956
1-722563681,Closed,1949.014
1-722603802,Closed,1830.225
1-722653227,Closed,1400.27
1-722676283,Closed,1825.626
1-722699121,Closed,1183.362
1-722699381,Closed,1695.653
1-722800373,Closed,1714.482
1-726695193,Closed,2153.751
1-726712611,Closed,1341.374
1-726729135,Closed,1861.249
1-726769441,Closed,1668.697
1-726834518,Closed,1853.51
1-726844205,Closed,1767.151
1-726889557,Closed,1902.645
1-726893941,Closed,2802.199
1-726894731,Closed,1869.345
1-726923786,In Call,1201.037
1-726943514,Closed,1763.166
1-726977591,In Call,1104.918
1-727104891,Closed,1928.253
1-727113589,Closed,1748.467
1-727152027,Closed,1318.729
1-727165553,Closed,1223.799
1-727217586,Closed,1810.262
1-728181260,Closed,1875.224
1-728261720,Closed,1089.707
1-728290131,Closed,1695.868
1-728309860,Closed,1139.958
1-728326523,Closed,1865.177
1-728338595,Closed,1863.589
1-728372131,Closed,1678.758
1-728375012,Closed,1126.863
1-728380361,Closed,1675.477
1-728380521,Closed,1843.073
1-728412968,Closed,2121.394
1-728476062,Closed,1857.256
1-728515380,Closed,1249.376
1-728516315,Closed,2113.12
1-728549796,Closed,1075.263
1-728558963,Closed,2803.193
1-728565252,Closed,2197.275
1-728567120,Closed,1852.1
1-728567806,Closed,1114.221
1-728595344,Closed,1764.071
1-728604558,Closed,1113.874
1-728609400,Closed,1587.839
1-728628057,Closed,1032.699
1-728641783,Closed,1061.374
1-728737339,Closed,1488.714
1-728749040,Closed,1567.094
1-728827701,Closed,1614.905
1-729074991,Closed,1697.857
1-729083781,Closed,874.184
1-729315061,Closed,1432.096
1-729315411,Closed,2478.475
1-729315431,Closed,1354.107
1-729337282,Closed,2492.113
1-729351021,Closed,1614.935
1-729351591,Closed,1950.348
1-729351752,Closed,2550.46
1-729351761,Closed,1600.558
1-729363660,Closed,780.589
1-729371940,Closed,1961.527
1-729406081,Closed,1946.865
1-729406661,Closed,1315.407
1-729423171,Closed,1912.536
1-729423561,Closed,1870.279
1-729424771,Closed,1523.977
1-729455355,Closed,1523.214
1-729463251,Closed,1339.123
1-729463386,Closed,1682.817
1-729463406,Closed,1161.754
1-729463781,Closed,668.295
1-729463831,Closed,658.671
1-729463861,Closed,1088.194
1-729473091,Closed,2474.03
1-729473517,Closed,2469.943
1-729482553,Closed,830.292
1-729497222,Closed,1865.942
1-729510194,Closed,1867.878
1-729513010,Closed,1850.432
1-729556366,Closed,2469.832
1-729564393,Closed,1000.112
1-729593276,Closed,1517.112
1-729598821,Closed,1605.046
1-729616611,Closed,1517.335
1-729639068,Closed,2466.991
1-729642101,Closed,1511.25
1-729642261,Closed,1421.743
1-729650335,Closed,1860.988
1-729659065,Closed,1601.54
1-729692250,Closed,992.883
1-729701261,Closed,820.17
1-729707456,Closed,1507.401
1-729722696,Closed,1422.417
1-729724548,Closed,1939.274
1-729748248,Closed,1507.505
1-729751751,Closed,1419.683
1-729769884,Closed,1416.895
1-729781697,Closed,984.724
1-729799491,Closed,1935.754
1-729802209,Closed,1502.668
1-729809195,Closed,1244.08
1-729814049,Closed,1448.41
1-729820704,Closed,1414.917
1-729825014,Closed,2453.215
1-729857533,Closed,1582.492
1-729866114,Closed,1327.912
1-729870359,Closed,1580.855
1-729896421,Closed,1930.3
1-729913537,Closed,858.082
1-730005931,Closed,1495.407
1-730040641,Closed,1575.276
1-730040885,Closed,1311.022
1-730042386,Closed,1312.947
1-730065800,Closed,698.961
1-730068930,Closed,1399.979
1-730069431,Closed,962.312
1-730069683,Closed,1565.142
1-730080969,Closed,877.897
1-730081404,Closed,785.397
1-730084493,Closed,1386.584
1-730127001,Closed,1269.853
1-730127301,Closed,916.49
1-730127321,Closed,1521.192
1-730127381,Closed,742.842
1-730130539,Closed,1461.357
1-730520519,Closed,839.887
1-730529203,Closed,921.665
1-730540985,Closed,1787.695
1-730589165,Closed,833.931
1-730589790,Closed,1521.674
1-730604741,Closed,1436.552
1-730607446,Closed,1820.192
1-730624890,Closed,744.167
1-730640484,Closed,744.156
1-730641578,Closed,1257.914
1-730655295,Closed,1260.45
1-730655701,Closed,1346.637
1-730661532,Closed,1259.959
1-730662807,Closed,704.956
1-730664821,Closed,1344.634
1-730683794,Closed,2464.925
1-730693647,Closed,1737.447
1-730694495,Closed,908.324
1-730700447,Closed,1344.517
1-730737297,Closed,824.057
1-730757694,Closed,1339.469
1-730760509,Closed,1860.341
1-730760683,Closed,1772.946
1-730772841,Closed,735.318
1-730780976,Closed,1741.859
1-730788530,Closed,1810.171
1-730802686,Closed,908.346
1-730829508,Closed,818.771
1-730833007,Closed,906.274
1-730833132,Closed,1337.7
1-730872746,Closed,1328.174
1-730884191,Closed,1161.657
1-730901191,Closed,724.297
1-730901381,Closed,766.803
1-730901831,Closed,1138.107
1-730919669,Closed,1500.135
1-730957669,Closed,1416.147
1-730959490,Closed,1363.19
1-730969181,Closed,891.089
1-730969191,Closed,804.767
1-730969241,Closed,1753.156
1-730969511,Closed,1799.686
1-730969611,Closed,1038.674
1-730969651,Closed,1441.703
1-730997166,Closed,1502.46
1-730997865,Closed,722.337
1-731050483,Closed,1328.275
1-731050573,Closed,1149.223
1-731065533,Closed,671.524
1-731073050,Closed,1757.397
1-731088401,Closed,1326.068
1-731094128,Closed,1758.398
1-731094556,Closed,1496.145
1-731113654,Closed,1496.45
1-731117221,Closed,1324.916
1-731134946,Closed,2447.327
1-731142213,Closed,1494.76
1-731157379,Closed,1229.53
1-731157904,Closed,1495.118
1-731188940,Closed,1402.814
1-731233155,Closed,1395.611
1-731241891,Closed,1814.433
1-731273458,Closed,2420.97
1-731276604,Closed,1185.598
1-731333657,Closed,1702.638
1-731336210,Closed,1290.462
1-731341641,Closed,665.404
1-731382356,Closed,1100.649
1-731779343,In Call,1194.239
1-731780971,Closed,1189.064
1-731792134,Closed,747.58
1-731802464,Closed,1268.906
1-731809381,Closed,1353.512
1-731815411,Closed,1306.695
1-731818521,Closed,1351.236
1-731829901,Closed,1699.678
1-731829961,Closed,2304.017
1-731830101,Closed,1696.513
1-731830131,Closed,1436.854
1-731830151,Closed,831.474
1-731830191,Closed,1435.87
1-731830451,Closed,1344.506
1-731840730,Closed,1349.457
1-731849320,Closed,1209.779
1-731853306,Closed,1437.311
1-731861414,Closed,1293.298
1-731868901,Closed,660.142
1-731868981,Closed,831.623
1-731869211,Closed,614.259
1-731869581,Closed,2372.983
1-731869591,Closed,1376.723
1-731890914,Closed,1264.144
1-731897193,Closed,1780.971
1-731925995,Closed,2385.393
1-731965990,Closed,1259.353
1-731966140,Closed,1085.583
1-731966686,Closed,1342.587
1-731967683,Closed,1344.679
1-732011856,Closed,1085.058
1-732022076,Closed,1344.064
1-732024939,Closed,1342.067
1-732025285,Closed,1340.156
1-732027653,Closed,2377.164
1-732062676,Closed,1683.954
1-732067929,Closed,1254.267
1-732081952,Closed,1402.256
1-732088178,Closed,645.802
1-732095248,Closed,507.514
1-732098363,Closed,1281.823
1-732110977,Closed,1681.187
1-732121564,Closed,1013.959
1-732124409,Closed,815.765
1-732137688,Closed,728.287
1-732139419,Closed,2285.581
1-732145234,Closed,1075.172
1-732163361,Closed,1334.608
1-732171009,Closed,1247.088
1-732173481,Closed,726.865
1-732173541,Closed,1244.919
1-732174599,Closed,1158.605
1-732177911,Closed,1161.366
1-732179287,Closed,1333.225
1-732193663,Closed,1244.275
1-732196939,Closed,1678.7
1-732199958,Closed,1332.846
1-732203933,Closed,1246.055
1-732211961,Closed,1329.89
1-732212111,Closed,1067.532
1-732212211,Closed,1410.769
1-732212241,Closed,1668.451
1-732212261,Closed,1063.151
1-732212661,Closed,1009.155
1-732212731,Closed,746.674
1-732212891,Closed,1173.572
1-732229387,Closed,1761.974
1-732259171,Closed,1158.993
1-732259271,Closed,1303.125
1-732259291,Closed,1618.038
1-732259491,Closed,1084.969
1-732259521,Closed,1256.369
1-732261411,Closed,749.036
1-732261521,Closed,1177.454
1-732279953,Closed,1414.895
1-732289335,Closed,1239.812
1-732289939,Closed,1241.258
1-732296918,Closed,1241.026
1-732316871,Closed,1405.405
1-732332311,Closed,631.746
1-732335159,Closed,1237.37
1-732348420,Closed,1752.621
1-732361418,Closed,627.145
1-732361737,Closed,1659.404
1-732378982,Closed,624.877
1-732419012,Closed,1221.112
1-732439433,Closed,614.053
1-732451728,Closed,1282.68
1-732463205,Closed,1198.219
1-732473167,Closed,1387.958
1-732852191,Closed,756.771
1-732863332,Closed,1361.631
1-732869889,Closed,1178.239
1-732883071,Closed,1271.692
1-732884421,Closed,1617.092
1-732892174,Closed,1010.124
1-732892779,Closed,1611.977
1-732899659,Closed,1349.169
1-732899879,Closed,1175.374
1-732909606,Closed,1262.983
1-732942791,Closed,1174.932
1-732970482,Closed,2206.188
1-732970505,Closed,1263.85
1-733009526,Closed,653.713
1-733037955,Closed,1001.445
1-733073251,Closed,1075.705
1-733073541,Closed,1156.069
1-733073791,Closed,706.216
1-733075475,Closed,1258.464
1-733075652,Closed,651.576
1-733076472,Closed,1166.039
1-733076791,Closed,901.553
1-733076851,Closed,747.509
1-733082240,Closed,739.001
1-733120018,Closed,936.223
1-733120074,In Call,1094.863
1-733141096,In Call,916.63
1-733158183,Closed,1339.371
1-733161095,Closed,562.331
1-733161610,Closed,1251.361
1-733177423,Closed,559.905
1-733178699,Closed,1166.682
1-733198236,Closed,1339.17
1-733199874,Closed,647.586
1-733199887,Closed,560.662
1-733207651,Closed,646.739
1-733208951,Closed,1595.867
1-733209061,Closed,1161.089
1-733209231,Closed,1243.709
1-733209291,Closed,1674.368
1-733209301,Closed,1587.987
1-733209431,Closed,937.944
1-733209761,Closed,577.587
1-733211401,Closed,1164.433
1-733240668,Closed,2283.945
1-733242301,Closed,1249.737
1-733244535,Closed,1680.516
1-733251971,Closed,1595.188
1-733252138,Closed,1248.282
1-733252212,Closed,1161.938
1-733254575,Closed,1158.915
1-733265984,Closed,1334.842
1-733272407,Closed,1332.719
1-733301711,Closed,1244.938
1-733302363,Closed,1245.579
1-733345605,Closed,1156.77
1-733350311,Closed,982.129
1-733350721,Closed,1238.32
1-733364740,Closed,1240.407
1-733368557,Closed,631.61
1-733372160,Closed,1153.418
1-733372382,Closed,547.057
1-733408351,Closed,1151.275
1-733414248,Closed,2188.803
1-733424129,Closed,2187.59
1-733443560,Closed,537.096
1-733471771,Closed,1562.669
1-733474451,Closed,1226.01
1-733478032,Closed,1229.865
1-733482215,Closed,1051.393
1-733482558,Closed,1049.377
1-733485346,Closed,533.341
1-733539596,Closed,1277.572
1-733547550,Closed,1200.933
1-733549283,Closed,1109.444
1-733556791,Closed,430.698
1-733565953,Closed,1555.305
1-733648964,Closed,1630.118
1-734030508,Closed,1107.798
1-734659103,Closed,2134.902
1-734659114,Closed,1183.866
1-734666685,Closed,1496.12
1-734666802,Closed,1093.451
1-734668261,Closed,2136.498
1-734671867,Closed,1186.673
1-734672931,Closed,667.048
1-734673331,Closed,1168.68
1-734673391,Closed,1166.356
1-734673481,Closed,2112.922
1-734673591,Closed,553.738
1-734676637,Closed,2133.812
1-734681311,Closed,1180.718
1-734693728,In Call,860.489
1-734697082,Closed,921.159
1-734702136,Closed,1091.761
1-734705951,Closed,1267.568
1-734710118,Closed,1526.911
1-734712541,Closed,1094.275
1-734722000,Closed,1180.447
1-734722370,Closed,1607.547
1-734723881,Closed,1526.04
1-734732031,Closed,1180.223
1-734732196,Closed,1524.294
1-734734063,Closed,1179.141
1-734735344,Closed,1265.572
1-734744358,Closed,572.057
1-734750582,Closed,1608.289
1-734751876,Closed,1522.507
1-734753125,Closed,1176.423
1-734765792,Closed,1001.565
1-734775492,Closed,349.223
1-734790231,Closed,1521.697
1-734790466,Closed,481.677
1-734792384,Closed,1260.1
1-734792765,Closed,1084.942
1-734796496,Closed,567.48
1-734796736,Closed,653.196
1-734796835,Closed,912.427
1-734801676,In Call,536.375
1-734805308,Closed,1604.482
1-734805695,Closed,1160.339
1-734805854,Closed,908.262
1-734805965,Closed,1519.9
1-734807244,Closed,2123.792
1-734807317,Closed,481.246
1-734807792,Closed,1084.82
1-734812011,Closed,1516.792
1-734812081,Closed,938.102
1-734812111,Closed,1512.105
1-734812121,Resolved,1560.71
1-734812231,Closed,1075.703
1-734812351,Closed,1159.575
1-734812391,Closed,985.595
1-734812571,Closed,461.791
1-734812591,Closed,1498.224
1-734812621,Closed,1151.216
1-734812751,Closed,965.408
1-734836356,Closed,1254.235
1-734842204,Closed,1080.946
1-734842516,Closed,1171.458
1-734842588,Closed,1257.396
1-734847613,Closed,1084.36
1-734847663,Closed,2121.44
1-734849461,Closed,827.965
1-734849791,Closed,1173.28
1-734863265,Closed,1082.742
1-734867990,Closed,851.78
1-734868961,Closed,2122.023
1-734870053,In Call,1012.099
1-734894748,Closed,1164.56
1-734903069,Closed,1254.309
1-734904368,Closed,907.713
1-734908392,Closed,907.523
1-734910992,Closed,476.476
1-734911719,Closed,1250.71
1-734915939,Closed,1160.624
1-734916681,Closed,1077.055
1-734916886,Closed,470.919
1-734922986,Closed,1080.209
1-734926010,Closed,1253.204
1-734930461,Closed,1163.099
1-734941798,Closed,989.215
1-734961624,Closed,1161.991
1-734964829,Closed,1508.883
1-734968198,Closed,557.332
1-734968511,Closed,1075.018
1-734968637,Closed,1246.818
1-734971186,In Call,1117.586
1-734973156,Closed,903.049
1-734973304,Closed,1075.596
1-734987071,Resolved,1576.298
1-734994401,Closed,1032.713
1-735000101,Closed,1074.95
1-735000225,Closed,469.337
1-735006290,Closed,467.767
1-735010701,Closed,1160.707
1-735013174,Closed,987.163
1-735013701,Closed,1158.278
1-735015171,Closed,1159.897
1-735025653,Closed,1072.009
1-735030751,Closed,981.276
1-735030780,Closed,1326.396
1-735037660,Closed,898.441
1-735037874,Closed,1462.669
1-735045971,Closed,1072.647
1-735053067,Closed,1503.9
1-735058984,Closed,1157.969
1-735063522,In Call,416.462
1-735064179,Closed,1068.366
1-735064620,Resolved,1550.508
1-735071006,Closed,983.413
1-735071172,Closed,1156.217
1-735077411,Closed,1586.104
1-735077470,Closed,721.162
1-735077961,Closed,1042.059
1-735078041,Closed,929.246
1-735078091,Closed,831.028
1-735078291,Closed,794.768
1-735078433,Closed,661.948
1-735078551,Closed,652.426
1-735078581,Closed,816.909
1-735084802,Closed,462.729
1-735086920,Closed,463.607
1-735087312,Closed,1067.514
1-735087406,Closed,1066.722
1-735089696,Closed,1064.713
1-735093723,Closed,1151.068
1-735101862,Closed,972.174
1-735104663,Closed,1499.354
1-735104703,Closed,1584.952
1-735104855,Closed,1062.312
1-735117603,Closed,840.899
1-735126180,Closed,370.213
1-735136971,Closed,1581.539
1-735145804,Closed,967.338
1-735147842,Closed,536.696
1-735162254,Closed,533.164
1-735168231,Closed,835.798
1-735168341,Closed,314.121
1-735168351,Closed,1005.493
1-735168371,Closed,1954.06
1-735168591,Closed,904.208
1-735168641,Closed,122.979
1-735168701,Closed,294.438
1-735168771,Closed,898.504
1-735170395,Closed,433.65
1-735170801,Closed,971.471
1-735171573,Closed,1226.445
1-735177767,Closed,933.707
1-735181447,Closed,966.744
1-735181620,Closed,445.846
1-735181678,Closed,358.947
1-735181822,Closed,443.248
1-735188058,Closed,1053.548
1-735224038,Closed,443.355
1-735226302,Closed,613.161
1-735231580,Closed,1193.836
1-735237150,Closed,1018.271
1-735262281,Resolved,1493.197
1-735262468,Closed,991.187
1-735266029,Closed,1031.336
1-735318750,Closed,1408.355
1-735318871,Closed,275.253
1-735877791,Closed,203.697
1-735877837,Closed,981.049
1-735895007,Closed,1004.949
1-735895054,Closed,1523.393
1-735897079,Closed,1513.721
1-735909135,Closed,836.26
1-735916798,Closed,1331.502
1-735918121,Closed,1008.816
1-735918241,Closed,223.302
1-735918271,Closed,1259.505
1-735918281,Closed,393.547
1-735918621,Closed,372.093
1-735918631,Closed,198.618
1-735930868,Closed,231.79
1-736286546,Closed,910.111
1-736290060,Closed,873.343
1-736298288,Closed,983.915
1-736319805,Closed,1008.42
1-736346711,Closed,1008.385
1-736346729,Closed,999.411
1-736349585,Closed,921.276
1-736369451,Closed,837.968
1-736370015,Closed,324.459
1-736374601,Closed,400.483
1-736379048,Closed,1012.621
1-736380358,Closed,315.849
1-736382563,Closed,832.847
1-736384598,Closed,1869.56
1-736391598,Closed,915.189
1-736399475,Closed,918.213
1-736403573,Closed,1003.796
1-736403645,Closed,830.386
1-736412923,Closed,920.332
1-736413598,Closed,311.653
1-736433201,Closed,830.124
1-736440526,Closed,1348.174
1-736464674,Closed,740.217
1-736465953,Closed,309.628
1-736488248,Closed,995.56
1-736488545,Closed,820.847
1-736499051,Closed,920.823
1-736503218,Resolved,1316.453
1-736504398,Resolved,1298.74
1-736517752,Closed,818.992
1-736541581,Closed,1249.11
1-736544975,Resolved,188.403
1-736547971,Closed,212.197
1-736549060,Closed,1855.125
1-736552272,Closed,212.013
1-736568631,Closed,293.765
1-736577384,Closed,641.036
1-736584672,Closed,722.622
1-736593529,Closed,291.993
1-736593793,Closed,290.674
1-736593880,Closed,721.495
1-736595605,Closed,722.957
1-736598835,Closed,702.561
1-736598875,Closed,1326.464
1-736599009,Closed,812.21
1-736602025,Closed,811.777
1-736602136,Closed,205.14
1-736602185,Closed,163.982
1-736602448,Closed,587.352
1-736606770,Closed,894.798
1-736610908,Closed,897.507
1-736611175,Closed,982.125
1-736629596,Closed,97.825
1-736633861,Closed,78.959
1-736641065,Closed,111.934
1-736643966,Closed,894.166
1-736649178,Closed,893.567
1-736651898,Closed,625.034
1-736658581,Closed,669.073
1-736665050,Closed,889.726
1-736665800,Closed,792.672
1-736667947,Closed,717.607
1-736673281,Closed,796.685
1-736673356,Closed,708.161
1-736674001,Closed,184.74
1-736674162,Closed,632.835
1-736674251,Closed,705.27
1-736674351,Closed,63.012
1-736674371,Closed,666.91
1-736674591,Closed,94.875
1-736674641,Closed,659.167
1-736674681,Closed,658.104
1-736674731,Closed,656.753
1-736674741,Closed,656.555
1-736674761,Closed,5.346
1-736674791,Closed,655.358
1-736674861,Closed,221.464
1-736676173,Closed,189.294
1-736676599,Closed,701.066
1-736684347,Closed,796.229
1-736687529,Closed,788.677
1-736690605,Closed,95.091
1-736696301,Closed,788.862
1-736700628,Closed,1223.781
1-736700836,Closed,183.658
1-736701726,Closed,85.391
1-736701740,In Call,0.516
1-736704900,In Call,1.308
1-736705406,Closed,871.897
1-736707986,Closed,94.659
1-736708926,Closed,81.518
1-736717829,Closed,91.731
1-736719999,Closed,782.691
1-736720019,Closed,869.158
1-736720411,Closed,755.243
1-736720459,Closed,755.058
1-736720519,Closed,754.705
1-736720567,Closed,754.281
1-736722133,In Call,0.602
1-736722204,Closed,675.114
1-736725878,Closed,1782.91
1-736726506,In Call,0.116
1-736726607,In Call,0.468
1-736727128,Closed,691.161
1-736727467,Closed,688.59
1-736727723,Closed,685.172
1-736771047,In Call,16.117
1-736771094,In Call,503.882
1-736771164,In Call,2.32
1-736771176,Closed,62.429
1-736771304,In Call,0.291
1-736771448,In Call,0.212
1-736771694,In Call,492.276
1-736772341,Closed,739.756
1-736772609,In Call,28.627
1-736772621,Closed,119.781
1-736772729,Closed,29.938
1-736773080,Closed,681.062
1-736773501,Closed,677.525
1-736773721,Closed,675.871
1-736773732,Closed,675.729
1-736773744,Closed,675.631
1-737307671,Closed,826.952
1-737309288,In Call,0.502
1-737309366,In Call,0.109
1-737309400,In Call,0.225
1-737309611,In Call,0.228
1-737310135,Closed,671.995
1-737310431,Closed,669.13
1-737310671,Closed,665.204
1-737313492,Closed,737.685
1-737314763,In Call,0.751
1-737321146,Closed,50.617
1-737322461,Closed,740.88
1-737322701,Closed,650.443
1-737325626,Closed,652.295
1-737325728,Closed,650.512
1-737325748,Closed,650.135
1-737325771,Closed,650.115
1-737325862,Closed,648.686
1-737328948,Closed,95.139
