SR_Number,Status,ACTIVITY,Involved_ST_Function_Div,Involved_Org_line_3,Involved_ST,SR_Latest_Impact,Product,Country,Owner_Country,time_from_start,time_from_previous_event(start),daytime,weekday,# ACTIVITY=In Progress,# ACTIVITY=Awaiting Assignment,# ACTIVITY=Resolved,# ACTIVITY=Assigned,# ACTIVITY=Closed,# ACTIVITY=Wait - User,# ACTIVITY=Wait - Implementation,# ACTIVITY=Wait,# ACTIVITY=Wait - Vendor,# ACTIVITY=In Call,# ACTIVITY=Wait - Customer,# ACTIVITY=Unmatched,# ACTIVITY=Cancelled,lead_time
1-516553982,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,1278.093,59.007,11581.565,Friday,6,3,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-516553982,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,1278.152,0.059,11581.624,Friday,7,3,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,1281.452,3.3,11584.924,Friday,7,4,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-516553982,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,POLAND,1281.812,0.36,11585.284,Friday,8,4,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,2417.243,1135.431,12720.715,Friday,8,5,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-516553982,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,9066.254,6649.011,19369.726,Friday,9,5,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,10805.854,1739.6,21109.326,Friday,9,6,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-516553982,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,33411.445,22605.591,43714.917,Friday,10,6,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-516553982,Completed,Resolved,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,33411.5,0.055,43714.972,Friday,11,6,0,0,0,2,0,0,0,0,0,0,0,34075.018
1-529067006,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.0,0.0,14018.249,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.021,0.021,14018.27,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,30360.24
1-529067006,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,0.602,0.581,14018.851,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,334.0,333.398,14352.249,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,30360.24
1-529067006,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,334.112,0.112,14352.361,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,337.798,3.686,14356.047,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,337.919,0.121,14356.168,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,401.581,63.662,14419.83,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,401.664,0.083,14419.913,Friday,5,2,0,0,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,410.7,9.036,14428.949,Friday,5,3,0,0,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,411.483,0.783,14429.732,Friday,6,3,0,0,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,411.567,0.084,14429.816,Friday,6,4,0,0,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,POLAND,411.861,0.294,14430.11,Friday,7,4,0,0,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,3545.617,3133.756,17563.866,Friday,7,5,0,0,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,Assigned,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,3545.619,0.002,17563.868,Friday,8,5,0,0,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,4747.298,1201.679,18765.547,Friday,8,5,0,1,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,29697.768,24950.47,43716.017,Friday,9,5,0,1,0,1,0,0,0,0,0,0,0,30360.24
1-529067006,Completed,Resolved,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,29697.82,0.052,43716.069,Friday,10,5,0,1,0,1,0,0,0,0,0,0,0,30360.24
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.0,0.0,14025.713,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.03,0.03,14025.743,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,0.525,0.495,14026.238,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,326.664,326.139,14352.377,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,326.799,0.135,14352.512,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,327.049,0.25,14352.762,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,327.357,0.308,14353.07,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,417.574,90.217,14443.287,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,417.697,0.123,14443.41,Friday,5,2,0,0,0,1,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,489.017,71.32,14514.73,Friday,5,3,0,0,0,1,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Assigned,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,489.032,0.015,14514.745,Friday,6,3,0,0,0,1,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,495.298,6.266,14521.011,Friday,6,3,0,1,0,1,0,0,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,495.313,0.015,14521.026,Friday,7,3,0,1,0,1,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,495.375,0.062,14521.088,Friday,7,4,0,1,0,1,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,495.586,0.211,14521.299,Friday,8,4,0,1,0,1,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,497.262,1.676,14522.975,Friday,8,4,0,1,0,2,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,497.349,0.087,14523.062,Friday,9,4,0,1,0,2,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,497.356,0.007,14523.069,Friday,9,4,0,1,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,497.373,0.017,14523.086,Friday,10,4,0,1,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,500.745,3.372,14526.458,Friday,10,5,0,1,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Assigned,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,500.757,0.012,14526.47,Friday,11,5,0,1,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,3951.287,3450.53,17977.0,Friday,11,5,0,2,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,3952.617,1.33,17978.33,Friday,12,5,0,2,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,3953.061,0.444,17978.774,Friday,12,6,0,2,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Assigned,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,3953.065,0.004,17978.778,Friday,13,6,0,2,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,3953.552,0.487,17979.265,Friday,13,6,0,3,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,3953.975,0.423,17979.688,Friday,14,6,0,3,0,3,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,0,4211.817,257.842,18237.53,Friday,14,6,0,3,0,4,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,4292.412,80.595,18318.125,Friday,14,6,0,3,0,5,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,0,4551.617,259.205,18577.33,Friday,14,6,0,3,0,6,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium,5172.125,620.508,19197.838,Friday,14,6,0,3,0,7,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,Wait,missing,Org line V7,V29 2nd,Medium,PROD542,nl,Belgium,5172.13,0.005,19197.843,Friday,15,6,0,3,0,7,0,0,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,8357.867,3185.737,22383.58,Friday,15,6,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,8357.987,0.12,22383.7,Friday,16,6,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,8368.672,10.685,22394.385,Friday,16,7,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,8368.689,0.017,22394.402,Friday,17,7,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,8368.842,0.153,22394.555,Friday,17,8,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,8369.374,0.532,22395.087,Friday,18,8,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,8375.326,5.952,22401.039,Friday,18,9,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,8375.339,0.013,22401.052,Friday,19,9,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,8375.621,0.282,22401.334,Friday,19,10,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,8375.803,0.182,22401.516,Friday,20,10,0,3,0,7,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,8376.433,0.63,22402.146,Friday,20,10,0,3,0,8,0,1,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,8376.528,0.095,22402.241,Friday,21,10,0,3,0,8,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,8379.598,3.07,22405.311,Friday,21,11,0,3,0,8,0,1,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,8379.726,0.128,22405.439,Friday,22,11,0,3,0,8,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,8379.893,0.167,22405.606,Friday,22,12,0,3,0,8,0,1,0,0,0,0,0,30352.776
1-529096847,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,POLAND,8380.043,0.15,22405.756,Friday,23,12,0,3,0,8,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,9763.104,1383.061,23788.817,Friday,23,13,0,3,0,8,0,1,0,0,0,0,0,30352.776
1-529096847,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,29690.548,19927.444,43716.261,Friday,24,13,0,3,0,8,0,1,0,0,0,0,0,30352.776
1-529096847,Completed,Resolved,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,29690.6,0.052,43716.313,Friday,25,13,0,3,0,8,0,1,0,0,0,0,0,30352.776
1-530458987,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.0,0.0,14514.953,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,0.144,0.144,14515.097,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,29863.536
1-530458987,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,0.404,0.26,14515.357,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,449.72,449.316,14964.673,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,29863.536
1-530458987,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,451.511,1.791,14966.464,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,533.328,81.817,15048.281,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,533.541,0.213,15048.494,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,0,710.712,177.171,15225.665,Friday,4,2,0,0,0,1,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,782.61,71.898,15297.563,Friday,4,2,0,0,0,2,0,0,0,0,0,0,0,29863.536
1-530458987,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,782.714,0.104,15297.667,Friday,5,2,0,0,0,2,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,1132.836,350.122,15647.789,Friday,5,3,0,0,0,2,0,0,0,0,0,0,0,29863.536
1-530458987,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,1145.443,12.607,15660.396,Friday,6,3,0,0,0,2,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,1214.314,68.871,15729.267,Friday,6,4,0,0,0,2,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,Wait - User,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,1215.004,0.69,15729.957,Friday,7,4,0,0,0,2,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,1227.553,12.549,15742.506,Friday,7,4,0,0,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,POLAND,1227.675,0.122,15742.628,Friday,8,4,0,0,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,1302.468,74.793,15817.421,Friday,8,5,0,0,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,Assigned,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,1302.54,0.072,15817.493,Friday,9,5,0,0,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,1842.166,539.626,16357.119,Friday,9,5,0,1,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Queued,Awaiting Assignment,A2_1,Org line A2,D8,Medium,PROD542,nl,Netherlands,1842.235,0.069,16357.188,Friday,10,5,0,1,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,A2_1,Org line A2,D8,Medium,PROD542,nl,POLAND,1844.823,2.588,16359.776,Friday,10,6,0,1,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,POLAND,1845.032,0.209,16359.985,Friday,11,6,0,1,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,3048.729,1203.697,17563.682,Friday,11,7,0,1,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,Assigned,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,3048.732,0.003,17563.685,Friday,12,7,0,1,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,4250.328,1201.596,18765.281,Friday,12,7,0,2,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Completed,Resolved,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,26788.6,22538.272,41303.553,Friday,13,7,0,2,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,26788.636,0.036,41303.589,Friday,13,7,1,2,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,Wait,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,26788.641,0.005,41303.594,Friday,14,7,1,2,0,3,0,0,0,0,0,0,0,29863.536
1-530458987,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,29201.392,2412.751,43716.345,Friday,14,7,1,2,0,3,0,1,0,0,0,0,0,29863.536
1-530458987,Completed,Resolved,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,29201.425,0.033,43716.378,Friday,15,7,1,2,0,3,0,1,0,0,0,0,0,29863.536
1-532109338,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium,0.0,0.0,15137.895,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,29240.593
1-532109338,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium,0.005,0.005,15137.9,Friday,1,0,0,0,0,0,0,0,0,0,0,0,0,29240.593
1-532109338,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium,0.226,0.221,15138.121,Friday,2,0,0,0,0,0,0,0,0,0,0,0,0,29240.593
1-532109338,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium,8.538,8.312,15146.433,Friday,2,1,0,0,0,0,0,0,0,0,0,0,0,29240.593
1-532109338,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium,8.579,0.041,15146.474,Friday,3,1,0,0,0,0,0,0,0,0,0,0,0,29240.593
1-532109338,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,10.661,2.082,15148.556,Friday,3,2,0,0,0,0,0,0,0,0,0,0,0,29240.593
1-532109338,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD542,nl,Netherlands,70.595,59.934,15208.49,Friday,4,2,0,0,0,0,0,0,0,0,0,0,0,29240.593
1-532109338,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium,76.871,6.276,15214.766,Friday,4,3,0,0,0,0,0,0,0,0,0,0,0,29240.593
1-532109338,Accepted,Wait - User,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium,77.002,0.131,15214.897,Friday,5,3,0,0,0,0,0,0,0,0,0,0,0,29240.593
1-532109338,Queued,Awaiting Assignment,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Belgium,100.586,23.584,15238.481,Friday,5,3,0,0,0,1,0,0,0,0,0,0,0,29240.593
1-532109338,Accepted,In Progress,missing,Org line V7n,V37 2nd,Medium,PROD542,nl,Netherlands,177.503,76.917,15315.398,Friday,5,4,0,0,0,1,0,0,0,0,0,0,0,29240.593
1-532109338,Queued,Awaiting Assignment,A2_1,Org line C,D2,Medium,PROD542,nl,Netherlands,178.252,0.749,15316.147,Friday,6,4,0,0,0,1,0,0,0,0,0,0,0,29240.593
1-532109338,Accepted,In Progress,A2_1,Org line C,D2,Medium,PROD542,nl,Belgium,178.304,0.052,15316.199,Friday,6,5,0,0,0,1,0,0,0,0,0,0,0,29240.593
1-532109338,Queued,Awaiting Assignment,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Belgium,178.413,0.109,15316.308,Friday,7,5,0,0,0,1,0,0,0,0,0,0,0,29240.593
1-532109338,Accepted,In Progress,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,2425.658,2247.245,17563.553,Friday,7,6,0,0,0,1,0,0,0,0,0,0,0,29240.593
1-532109338,Accepted,Assigned,missing,Org line V7n,V32 2nd,Medium,PROD542,nl,Netherlands,2425.661,0.003,17563.556,Friday,8,6,0,0,0,1,0,0,0,0,0,0,0,29240.593
